subject_id	source_language	translation_language	source_value	predicate_id	translation_value	translation_status
HP:0040255	en	en	Aplasia/Hypoplasia of the clitoris	rdfs:label	Aplasia/Hypoplasia of the clitoris	OFFICIAL
HP:0000061	en	en	Ambiguous genitalia, female	rdfs:label	Ambiguous genitalia, female	OFFICIAL
HP:0000063	en	en	Fused labia minora	rdfs:label	Fused labia minora	OFFICIAL
HP:0012880	en	en	Abnormal labia minora morphology	rdfs:label	Abnormal labia minora morphology	OFFICIAL
HP:0000064	en	en	Hypoplastic labia minora	rdfs:label	Hypoplastic labia minora	OFFICIAL
HP:0000065	en	en	Labial hypertrophy	rdfs:label	Labial hypertrophy	OFFICIAL
HP:0000067	en	en	Urethral atresia, female	rdfs:label	Urethral atresia, female	OFFICIAL
HP:0000795	en	en	Abnormality of the urethra	rdfs:label	Abnormality of the urethra	OFFICIAL
HP:0000069	en	en	Abnormality of the ureter	rdfs:label	Abnormality of the ureter	OFFICIAL
HP:0010935	en	en	Abnormality of the upper urinary tract	rdfs:label	Abnormality of the upper urinary tract	OFFICIAL
HP:0000070	en	en	Ureterocele	rdfs:label	Ureterocele	OFFICIAL
HP:0025633	en	en	Abnormal ureter morphology	rdfs:label	Abnormal ureter morphology	OFFICIAL
HP:0000071	en	en	Ureteral stenosis	rdfs:label	Ureteral stenosis	OFFICIAL
HP:0006000	en	en	Ureteral obstruction	rdfs:label	Ureteral obstruction	OFFICIAL
HP:0000072	en	en	Hydroureter	rdfs:label	Hydroureter	OFFICIAL
HP:0000073	en	en	Ureteral duplication	rdfs:label	Ureteral duplication	OFFICIAL
HP:0000074	en	en	Ureteropelvic junction obstruction	rdfs:label	Ureteropelvic junction obstruction	OFFICIAL
HP:0000075	en	en	Renal duplication	rdfs:label	Renal duplication	OFFICIAL
HP:0012210	en	en	Abnormal renal morphology	rdfs:label	Abnormal renal morphology	OFFICIAL
HP:0000076	en	en	Vesicoureteral reflux	rdfs:label	Vesicoureteral reflux	OFFICIAL
HP:0025634	en	en	Abnormal ureter physiology	rdfs:label	Abnormal ureter physiology	OFFICIAL
HP:0000077	en	en	Abnormality of the kidney	rdfs:label	Abnormality of the kidney	OFFICIAL
HP:0000078	en	en	Abnormality of the genital system	rdfs:label	Abnormality of the genital system	OFFICIAL
HP:0000119	en	en	Abnormality of the genitourinary system	rdfs:label	Abnormality of the genitourinary system	OFFICIAL
HP:0000079	en	en	Abnormality of the urinary system	rdfs:label	Abnormality of the urinary system	OFFICIAL
HP:0000080	en	en	Abnormality of reproductive system physiology	rdfs:label	Abnormality of reproductive system physiology	OFFICIAL
HP:0000081	en	en	Duplicated collecting system	rdfs:label	Duplicated collecting system	OFFICIAL
HP:0004742	en	en	Abnormal renal collecting system morphology	rdfs:label	Abnormal renal collecting system morphology	OFFICIAL
HP:0000083	en	en	Renal insufficiency	rdfs:label	Renal insufficiency	OFFICIAL
HP:0012211	en	en	Abnormal renal physiology	rdfs:label	Abnormal renal physiology	OFFICIAL
HP:0000085	en	en	Horseshoe kidney	rdfs:label	Horseshoe kidney	OFFICIAL
HP:0100542	en	en	Abnormal localization of kidney	rdfs:label	Abnormal localization of kidney	OFFICIAL
HP:0000086	en	en	Ectopic kidney	rdfs:label	Ectopic kidney	OFFICIAL
HP:0000089	en	en	Renal hypoplasia	rdfs:label	Renal hypoplasia	OFFICIAL
HP:0008678	en	en	Renal hypoplasia/aplasia	rdfs:label	Renal hypoplasia/aplasia	OFFICIAL
HP:0000090	en	en	Nephronophthisis	rdfs:label	Nephronophthisis	OFFICIAL
HP:0100957	en	en	Abnormal renal medulla morphology	rdfs:label	Abnormal renal medulla morphology	OFFICIAL
HP:0000091	en	en	Abnormal renal tubule morphology	rdfs:label	Abnormal renal tubule morphology	OFFICIAL
HP:0012575	en	en	Abnormal nephron morphology	rdfs:label	Abnormal nephron morphology	OFFICIAL
HP:0000092	en	en	Renal tubular atrophy	rdfs:label	Renal tubular atrophy	OFFICIAL
HP:0032599	en	en	Abnormal renal tubular epithelial morphology	rdfs:label	Abnormal renal tubular epithelial morphology	OFFICIAL
HP:0000093	en	en	Proteinuria	rdfs:label	Proteinuria	OFFICIAL
HP:0020129	en	en	Abnormal urine protein level	rdfs:label	Abnormal urine protein level	OFFICIAL
HP:0000095	en	en	Abnormal renal glomerulus morphology	rdfs:label	Abnormal renal glomerulus morphology	OFFICIAL
HP:0031263	en	en	Abnormal renal corpuscle morphology	rdfs:label	Abnormal renal corpuscle morphology	OFFICIAL
HP:0000096	en	en	Glomerular sclerosis	rdfs:label	Glomerular sclerosis	OFFICIAL
HP:0000097	en	en	Focal segmental glomerulosclerosis	rdfs:label	Focal segmental glomerulosclerosis	OFFICIAL
HP:0000098	en	en	Tall stature	rdfs:label	Tall stature	OFFICIAL
HP:0000099	en	en	Glomerulonephritis	rdfs:label	Glomerulonephritis	OFFICIAL
HP:0000123	en	en	Nephritis	rdfs:label	Nephritis	OFFICIAL
HP:0000100	en	en	Nephrotic syndrome	rdfs:label	Nephrotic syndrome	OFFICIAL
HP:0000103	en	en	Polyuria	rdfs:label	Polyuria	OFFICIAL
HP:0012590	en	en	Abnormal urine output	rdfs:label	Abnormal urine output	OFFICIAL
HP:0000104	en	en	Renal agenesis	rdfs:label	Renal agenesis	OFFICIAL
HP:0000105	en	en	Enlarged kidney	rdfs:label	Enlarged kidney	OFFICIAL
HP:0000108	en	en	Renal corticomedullary cysts	rdfs:label	Renal corticomedullary cysts	OFFICIAL
HP:0011035	en	en	Abnormal renal cortex morphology	rdfs:label	Abnormal renal cortex morphology	OFFICIAL
HP:0000110	en	en	Renal dysplasia	rdfs:label	Renal dysplasia	OFFICIAL
HP:0000111	en	en	Renal juxtaglomerular cell hypertrophy/hyperplasia	rdfs:label	Renal juxtaglomerular cell hypertrophy/hyperplasia	OFFICIAL
HP:0000112	en	en	Nephropathy	rdfs:label	Nephropathy	OFFICIAL
HP:0000113	en	en	Polycystic kidney dysplasia	rdfs:label	Polycystic kidney dysplasia	OFFICIAL
HP:0000114	en	en	Proximal tubulopathy	rdfs:label	Proximal tubulopathy	OFFICIAL
HP:0000124	en	en	Renal tubular dysfunction	rdfs:label	Renal tubular dysfunction	OFFICIAL
HP:0000117	en	en	Renal phosphate wasting	rdfs:label	Renal phosphate wasting	OFFICIAL
HP:0012599	en	en	Abnormal urine phosphate concentration	rdfs:label	Abnormal urine phosphate concentration	OFFICIAL
HP:0000118	en	en	Phenotypic abnormality	rdfs:label	Phenotypic abnormality	OFFICIAL
HP:0000121	en	en	Nephrocalcinosis	rdfs:label	Nephrocalcinosis	OFFICIAL
HP:0000122	en	en	Unilateral renal agenesis	rdfs:label	Unilateral renal agenesis	OFFICIAL
HP:0000125	en	en	Pelvic kidney	rdfs:label	Pelvic kidney	OFFICIAL
HP:0000126	en	en	Hydronephrosis	rdfs:label	Hydronephrosis	OFFICIAL
HP:0010946	en	en	Dilatation of the renal pelvis	rdfs:label	Dilatation of the renal pelvis	OFFICIAL
HP:0000127	en	en	Renal salt wasting	rdfs:label	Renal salt wasting	OFFICIAL
HP:0012591	en	en	Abnormal urinary electrolyte concentration	rdfs:label	Abnormal urinary electrolyte concentration	OFFICIAL
HP:0000128	en	en	Renal potassium wasting	rdfs:label	Renal potassium wasting	OFFICIAL
HP:0012598	en	en	Abnormal urine potassium concentration	rdfs:label	Abnormal urine potassium concentration	OFFICIAL
HP:0000130	en	en	Abnormality of the uterus	rdfs:label	Abnormality of the uterus	OFFICIAL
HP:0000131	en	en	Uterine leiomyoma	rdfs:label	Uterine leiomyoma	OFFICIAL
HP:0010784	en	en	Uterine neoplasm	rdfs:label	Uterine neoplasm	OFFICIAL
HP:0000132	en	en	Menorrhagia	rdfs:label	Menorrhagia	OFFICIAL
HP:0000140	en	en	Abnormality of the menstrual cycle	rdfs:label	Abnormality of the menstrual cycle	OFFICIAL
HP:0001892	en	en	Abnormal bleeding	rdfs:label	Abnormal bleeding	OFFICIAL
HP:0000133	en	en	Gonadal dysgenesis	rdfs:label	Gonadal dysgenesis	OFFICIAL
HP:0000134	en	en	Female hypogonadism	rdfs:label	Female hypogonadism	OFFICIAL
HP:0031066	en	en	Abnormal ovarian physiology	rdfs:label	Abnormal ovarian physiology	OFFICIAL
HP:0008373	en	en	Puberty and gonadal disorders	rdfs:label	Puberty and gonadal disorders	OFFICIAL
HP:0000136	en	en	Bifid uterus	rdfs:label	Bifid uterus	OFFICIAL
HP:0031105	en	en	Abnormal uterus morphology	rdfs:label	Abnormal uterus morphology	OFFICIAL
HP:0000137	en	en	Abnormality of the ovary	rdfs:label	Abnormality of the ovary	OFFICIAL
HP:0000138	en	en	Ovarian cyst	rdfs:label	Ovarian cyst	OFFICIAL
HP:0031065	en	en	Abnormal ovarian morphology	rdfs:label	Abnormal ovarian morphology	OFFICIAL
HP:0000139	en	en	Uterine prolapse	rdfs:label	Uterine prolapse	OFFICIAL
HP:0100823	en	en	Genital hernia	rdfs:label	Genital hernia	OFFICIAL
HP:0030012	en	en	Abnormal female reproductive system physiology	rdfs:label	Abnormal female reproductive system physiology	OFFICIAL
HP:0000141	en	en	Amenorrhea	rdfs:label	Amenorrhea	OFFICIAL
HP:0000142	en	en	Abnormal vagina morphology	rdfs:label	Abnormal vagina morphology	OFFICIAL
HP:0000143	en	en	Rectovaginal fistula	rdfs:label	Rectovaginal fistula	OFFICIAL
HP:0004320	en	en	Vaginal fistula	rdfs:label	Vaginal fistula	OFFICIAL
HP:0100590	en	en	Rectal fistula	rdfs:label	Rectal fistula	OFFICIAL
HP:0000144	en	en	Decreased fertility	rdfs:label	Decreased fertility	OFFICIAL
HP:0000145	en	en	Transverse vaginal septum	rdfs:label	Transverse vaginal septum	OFFICIAL
HP:0001153	en	en	Septate vagina	rdfs:label	Septate vagina	OFFICIAL
HP:0000147	en	en	Polycystic ovaries	rdfs:label	Polycystic ovaries	OFFICIAL
HP:0000148	en	en	Vaginal atresia	rdfs:label	Vaginal atresia	OFFICIAL
HP:0001827	en	en	Genital tract atresia	rdfs:label	Genital tract atresia	OFFICIAL
HP:0000149	en	en	Ovarian gonadoblastoma	rdfs:label	Ovarian gonadoblastoma	OFFICIAL
HP:0100615	en	en	Ovarian neoplasm	rdfs:label	Ovarian neoplasm	OFFICIAL
HP:0100728	en	en	Germ cell neoplasia	rdfs:label	Germ cell neoplasia	OFFICIAL
HP:0000151	en	en	Aplasia of the uterus	rdfs:label	Aplasia of the uterus	OFFICIAL
HP:0000152	en	en	Abnormality of head or neck	rdfs:label	Abnormality of head or neck	OFFICIAL
HP:0000153	en	en	Abnormality of the mouth	rdfs:label	Abnormality of the mouth	OFFICIAL
HP:0000271	en	en	Abnormality of the face	rdfs:label	Abnormality of the face	OFFICIAL
HP:0000154	en	en	Wide mouth	rdfs:label	Wide mouth	OFFICIAL
HP:0011337	en	en	Abnormality of mouth size	rdfs:label	Abnormality of mouth size	OFFICIAL
HP:0000155	en	en	Oral ulcer	rdfs:label	Oral ulcer	OFFICIAL
HP:0011830	en	en	Abnormal oral mucosa morphology	rdfs:label	Abnormal oral mucosa morphology	OFFICIAL
HP:0000157	en	en	Abnormality of the tongue	rdfs:label	Abnormality of the tongue	OFFICIAL
HP:0000163	en	en	Abnormal oral cavity morphology	rdfs:label	Abnormal oral cavity morphology	OFFICIAL
HP:0000158	en	en	Macroglossia	rdfs:label	Macroglossia	OFFICIAL
HP:0003712	en	en	Skeletal muscle hypertrophy	rdfs:label	Skeletal muscle hypertrophy	OFFICIAL
HP:0030809	en	en	Abnormal tongue morphology	rdfs:label	Abnormal tongue morphology	OFFICIAL
HP:0000159	en	en	Abnormal lip morphology	rdfs:label	Abnormal lip morphology	OFFICIAL
HP:0000160	en	en	Narrow mouth	rdfs:label	Narrow mouth	OFFICIAL
HP:0000161	en	en	Median cleft lip	rdfs:label	Median cleft lip	OFFICIAL
HP:0000204	en	en	Cleft upper lip	rdfs:label	Cleft upper lip	OFFICIAL
HP:0000162	en	en	Glossoptosis	rdfs:label	Glossoptosis	OFFICIAL
HP:0031816	en	en	Abnormal oral morphology	rdfs:label	Abnormal oral morphology	OFFICIAL
HP:0000164	en	en	Abnormality of the dentition	rdfs:label	Abnormality of the dentition	OFFICIAL
HP:0000166	en	en	Severe periodontitis	rdfs:label	Severe periodontitis	OFFICIAL
HP:0000704	en	en	Periodontitis	rdfs:label	Periodontitis	OFFICIAL
HP:0000168	en	en	Abnormality of the gingiva	rdfs:label	Abnormality of the gingiva	OFFICIAL
HP:0000169	en	en	Gingival fibromatosis	rdfs:label	Gingival fibromatosis	OFFICIAL
HP:0010614	en	en	Fibroma	rdfs:label	Fibroma	OFFICIAL
HP:0000171	en	en	Microglossia	rdfs:label	Microglossia	OFFICIAL
HP:0010295	en	en	Aplasia/Hypoplasia of the tongue	rdfs:label	Aplasia/Hypoplasia of the tongue	OFFICIAL
HP:0000172	en	en	Abnormal uvula morphology	rdfs:label	Abnormal uvula morphology	OFFICIAL
HP:0100736	en	en	Abnormal soft palate morphology	rdfs:label	Abnormal soft palate morphology	OFFICIAL
HP:0000174	en	en	Abnormal palate morphology	rdfs:label	Abnormal palate morphology	OFFICIAL
HP:0000175	en	en	Cleft palate	rdfs:label	Cleft palate	OFFICIAL
HP:0000202	en	en	Orofacial cleft	rdfs:label	Orofacial cleft	OFFICIAL
HP:0000176	en	en	Submucous cleft hard palate	rdfs:label	Submucous cleft hard palate	OFFICIAL
HP:0410031	en	en	Submucous cleft of soft and hard palate	rdfs:label	Submucous cleft of soft and hard palate	OFFICIAL
HP:0000177	en	en	Abnormal upper lip morphology	rdfs:label	Abnormal upper lip morphology	OFFICIAL
HP:0000178	en	en	Abnormal lower lip morphology	rdfs:label	Abnormal lower lip morphology	OFFICIAL
HP:0000179	en	en	Thick lower lip vermilion	rdfs:label	Thick lower lip vermilion	OFFICIAL
HP:0012471	en	en	Thick vermilion border	rdfs:label	Thick vermilion border	OFFICIAL
HP:0000180	en	en	Lobulated tongue	rdfs:label	Lobulated tongue	OFFICIAL
HP:0000182	en	en	Movement abnormality of the tongue	rdfs:label	Movement abnormality of the tongue	OFFICIAL
HP:0030810	en	en	Abnormal tongue physiology	rdfs:label	Abnormal tongue physiology	OFFICIAL
HP:0000183	en	en	Difficulty in tongue movements	rdfs:label	Difficulty in tongue movements	OFFICIAL
HP:0000185	en	en	Cleft soft palate	rdfs:label	Cleft soft palate	OFFICIAL
HP:0000187	en	en	Broad alveolar ridges	rdfs:label	Broad alveolar ridges	OFFICIAL
HP:0006477	en	en	Abnormality of the alveolar ridges	rdfs:label	Abnormality of the alveolar ridges	OFFICIAL
HP:0000188	en	en	Short upper lip	rdfs:label	Short upper lip	OFFICIAL
HP:0000189	en	en	Narrow palate	rdfs:label	Narrow palate	OFFICIAL
HP:0000190	en	en	Abnormal oral frenulum morphology	rdfs:label	Abnormal oral frenulum morphology	OFFICIAL
HP:0000191	en	en	Accessory oral frenulum	rdfs:label	Accessory oral frenulum	OFFICIAL
HP:0000193	en	en	Bifid uvula	rdfs:label	Bifid uvula	OFFICIAL
HP:0000194	en	en	Open mouth	rdfs:label	Open mouth	OFFICIAL
HP:0011338	en	en	Abnormality of mouth shape	rdfs:label	Abnormality of mouth shape	OFFICIAL
HP:0000196	en	en	Lower lip pit	rdfs:label	Lower lip pit	OFFICIAL
HP:0100269	en	en	Paramedian lip pit	rdfs:label	Paramedian lip pit	OFFICIAL
HP:0000197	en	en	Abnormal parotid gland morphology	rdfs:label	Abnormal parotid gland morphology	OFFICIAL
HP:0010286	en	en	Abnormal salivary gland morphology	rdfs:label	Abnormal salivary gland morphology	OFFICIAL
HP:0000198	en	en	Absence of Stensen duct	rdfs:label	Absence of Stensen duct	OFFICIAL
HP:0000199	en	en	Tongue nodules	rdfs:label	Tongue nodules	OFFICIAL
HP:0000200	en	en	Short lingual frenulum	rdfs:label	Short lingual frenulum	OFFICIAL
HP:0000201	en	en	Pierre-Robin sequence	rdfs:label	Pierre-Robin sequence	OFFICIAL
HP:0000347	en	en	Micrognathia	rdfs:label	Micrognathia	OFFICIAL
HP:0410030	en	en	Cleft lip	rdfs:label	Cleft lip	OFFICIAL
HP:0000205	en	en	Pursed lips	rdfs:label	Pursed lips	OFFICIAL
HP:0000206	en	en	Glossitis	rdfs:label	Glossitis	OFFICIAL
HP:0000207	en	en	Triangular mouth	rdfs:label	Triangular mouth	OFFICIAL
HP:0000211	en	en	Trismus	rdfs:label	Trismus	OFFICIAL
HP:0000277	en	en	Abnormal mandible morphology	rdfs:label	Abnormal mandible morphology	OFFICIAL
HP:0000212	en	en	Gingival overgrowth	rdfs:label	Gingival overgrowth	OFFICIAL
HP:0000214	en	en	Lip telangiectasia	rdfs:label	Lip telangiectasia	OFFICIAL
HP:0000228	en	en	Oral cavity telangiectasia	rdfs:label	Oral cavity telangiectasia	OFFICIAL
HP:0000215	en	en	Thick upper lip vermilion	rdfs:label	Thick upper lip vermilion	OFFICIAL
HP:0011339	en	en	Abnormality of upper lip vermillion	rdfs:label	Abnormality of upper lip vermillion	OFFICIAL
HP:0000216	en	en	Broad secondary alveolar ridge	rdfs:label	Broad secondary alveolar ridge	OFFICIAL
HP:0000217	en	en	Xerostomia	rdfs:label	Xerostomia	OFFICIAL
HP:0100755	en	en	Abnormality of salivation	rdfs:label	Abnormality of salivation	OFFICIAL
HP:0000218	en	en	High palate	rdfs:label	High palate	OFFICIAL
HP:0000219	en	en	Thin upper lip vermilion	rdfs:label	Thin upper lip vermilion	OFFICIAL
HP:0000233	en	en	Thin vermilion border	rdfs:label	Thin vermilion border	OFFICIAL
HP:0000220	en	en	Velopharyngeal insufficiency	rdfs:label	Velopharyngeal insufficiency	OFFICIAL
HP:0000221	en	en	Furrowed tongue	rdfs:label	Furrowed tongue	OFFICIAL
HP:0000222	en	en	Gingival hyperkeratosis	rdfs:label	Gingival hyperkeratosis	OFFICIAL
HP:0000962	en	en	Hyperkeratosis	rdfs:label	Hyperkeratosis	OFFICIAL
HP:0000223	en	en	Abnormality of taste sensation	rdfs:label	Abnormality of taste sensation	OFFICIAL
HP:0012638	en	en	Abnormal nervous system physiology	rdfs:label	Abnormal nervous system physiology	OFFICIAL
HP:0000224	en	en	Hypogeusia	rdfs:label	Hypogeusia	OFFICIAL
HP:0000225	en	en	Gingival bleeding	rdfs:label	Gingival bleeding	OFFICIAL
HP:0000227	en	en	Tongue telangiectasia	rdfs:label	Tongue telangiectasia	OFFICIAL
HP:0100579	en	en	Mucosal telangiectasiae	rdfs:label	Mucosal telangiectasiae	OFFICIAL
HP:0000230	en	en	Gingivitis	rdfs:label	Gingivitis	OFFICIAL
HP:0000232	en	en	Everted lower lip vermilion	rdfs:label	Everted lower lip vermilion	OFFICIAL
HP:0012472	en	en	Eclabion	rdfs:label	Eclabion	OFFICIAL
HP:0000234	en	en	Abnormality of the head	rdfs:label	Abnormality of the head	OFFICIAL
HP:0000235	en	en	Abnormality of the fontanelles or cranial sutures	rdfs:label	Abnormality of the fontanelles or cranial sutures	OFFICIAL
HP:0000929	en	en	Abnormal skull morphology	rdfs:label	Abnormal skull morphology	OFFICIAL
